"URL","Image URL","ASIN","Title","Brand","Fulfillment","Category","BSR","UPC","GTIN","EAN","ISBN","Subcategory","Subcategory BSR","Price","Price Trend (90 days) (%)","Parent Level Sales","ASIN Sales","Sales Trend (90 days) (%)","Parent Level Revenue","ASIN Revenue","Review Count","Reviews Rating","Seller","Seller Country/Region","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.fr/dp/B01M32I12I","https://m.media-amazon.com/images/I/71iJGLNkdvL._SX450_.jpg","B01M32I12I","Dunlop Réhausseur Voiture Enfant - Réhausseur Sièges Auto ECE R129 - Siège Auto 3 Ans Ergonomique - Réhausseur Avec Housse Lavable - Siège Auto Pour Enfants 135-150 cm - Rouge","DUNLOP","Amazon","Bébé et Puériculture",523,"N/A","N/A",8711252006772,"N/A","Sièges auto",10,19.99,-16,526,182,-5,12400.22,3635.88,429,3.7,"Amazon","N/A",3,0,"N/A","Standard Parcel",5.16,13.11,14.8,0.54,"N/A","N/A","08/01/2025",16,6,3,1.23
"https://amazon.fr/dp/B01M32I11X","https://m.media-amazon.com/images/I/81pN67ujxtL._SX450_.jpg","B01M32I11X","Dunlop Réhausseur Voiture Enfant - Réhausseur Sièges Auto ECE R129 - Siège Auto 3 Ans Ergonomique - Réhausseur Avec Housse Lavable - Siège Auto Pour Enfants 135-150 cm - Gris","DUNLOP","Amazon","Bébé et Puériculture",523,"N/A","N/A",8711252006765,"N/A","Sièges auto",10,25.49,33,526,99,-5,12400.22,2531.98,429,3.7,"Amazon","N/A",3,0,"N/A","Standard Parcel",5.2,13.23,15.87,0.57,"N/A","N/A","08/01/2025",16,4,3,1.23
"https://amazon.fr/dp/B08V2L9Y81","https://m.media-amazon.com/images/I/51UquJng-AL._SX450_.jpg","B08V2L9Y81","Peg Perego Base i-Size, pour fixer le siège auto dans la voiture","Peg Perego","Amazon","Bébé et Puériculture",6052,"N/A","N/A",8005475418338,"N/A","Sièges auto",107,125,4,9,9,-9,1335.17,1335.03,139,4.4,"Amazon","N/A",3,93,2,"Standard Oversize",8.66,15.55,24.61,13.89,"N/A","N/A","01/01/2025",65,3,0,0.07
"https://amazon.fr/dp/B01KX980CM","https://m.media-amazon.com/images/I/71kUafoP90L._SX450_.jpg","B01KX980CM","sourcing map Tapis Isolant Auto Voiture Isolation Acoustique Résistant à Chaleur Mousse Amortisseur 200x50cm","uxcell","FBA","Auto et Moto",21241,602451861355,"N/A",0602451861355,"N/A","Pare-brise avant",51,32.99,-6,44,32,101,1701.53,1066.93,307,4.2,"Weisser Berg","Hong Kong",4,409,718,"Standard Parcel",6.18,11.5,14.06,0.9,"N/A","N/A","06/01/2025",113,7,2,0.14
"https://amazon.fr/dp/B0D3DMDL79","https://m.media-amazon.com/images/I/61fK-YQcIBL._SX450_.jpg","B0D3DMDL79","Camiraft Tapis Insonorisant pour Voiture,Amortisseur D'isolation Phonique Thermique De Voiture Acoustique Anti-Bruit Coton,Cellule Mousse Auto Adhésif Isolation Thermique - 200x50x2cm","Camiraft","FBM","Auto et Moto",3841,"N/A","N/A","N/A","N/A","Isolation",5,15.51,-16,74,65,-47,1232.98,1008.69,26,4.2,"feixixianyunxianjiexinxikejiyouxiangongsi","China",5,479,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12/01/2025",22,7,2,2.87
"https://amazon.fr/dp/B0C1NWZVTN","https://m.media-amazon.com/images/I/812C8yasi3L._SX450_.jpg","B0C1NWZVTN","HASKYY Alubutyl Matériau d’insonorisation 2mm 2qm Auto-adhésif Noire pour portières de Voiture - Matériau Isolant - Acoustique","HASKYY","FBA","Auto et Moto",2795,"N/A","N/A",4260688725565,"N/A","Isolation",4,25.99,-7,154,117,,3983.84,3047.87,302,4.7,"HASKYY","Germany",2,0,"N/A","Standard Oversize",5.28,5.39,20.94,15.92,"N/A","N/A","01/01/2026",35,6,4,0.51
"https://amazon.fr/dp/B0D7VFX659","https://m.media-amazon.com/images/I/41Y+k5RqOhL._SX450_.jpg","B0D7VFX659","MINIX Écran CarPlay Voiture – [Écran Laminé 2026] Écran Voiture CarPlay sans Fil 60fps, 8,9 Pouces 1920×720 HD, CarPlay & Android Auto, Compatible Commandes au Volant","MINIX","FBA","High-Tech",61981,"N/A","N/A",4897016411724,"N/A","Écrans de tableau de bord intégrés",85,159.9,-17,11,11,,1695.91,1695.68,168,4.3,"MINIX Direct","Hong Kong",3,55,"N/A","Small Parcel",3.82,5.2,10.2,2.25,"N/A","N/A","02/01/2026",19,6,0,0.06
"https://amazon.fr/dp/B0FFH6K3SF","https://m.media-amazon.com/images/I/61yp0fO93jL._SX450_.jpg","B0FFH6K3SF","OBD2 Valise Diagnostic Auto Multimarque: OBD Diagnostique Voiture Français Boitier - USB Lecteur de Codes OBD2 Scanner - Machine Diagnostic Auto Défaillance Moteur pour BMW VW Audi Tous Les Véhic","zshequ","FBA","Auto et Moto",9136,788567346235,"N/A",0788567346235,"N/A","Outils diagnostics pour système de moteur OBD-II",98,29.99,-17,51,51,-72,1482.11,1481.6,320,4.1,"yuelidirect","China",4,0,"N/A","Extra Large Envelope",1.73,5.24,7.91,0.75,"N/A","N/A","09/01/2025",7,7,0,0.16
"https://amazon.fr/dp/B0FLVH6W7J","https://m.media-amazon.com/images/I/618ed0Bks9L._SX450_.jpg","B0FLVH6W7J","OBD2 Diagnostic Valise Voiture Auto: OBD Valise Diagnostique Auto Multimarque Français Fonctions Complètes OBD2 - Lecteur de Codes Erreur Moteur pour BMW Peugeot VW Audi Tous Véhicules Compatibles OBD","nexzcheck","FBA","Auto et Moto",448,718653259118,"N/A",0718653259118,"N/A","Outils diagnostics pour système de moteur OBD-II",4,35.99,-13,334,334,-29,11618.81,11618.48,248,4.2,"Kingsupplied Visitors Kft.","N/A",3,0,"N/A","Extra Large Envelope",1.73,5.24,7.99,0.73,"N/A","N/A","11/01/2025",6,7,0,1.35
"https://amazon.fr/dp/B0FDDKN84P","https://m.media-amazon.com/images/I/41eee3+eh5L._SX450_.jpg","B0FDDKN84P","tectake® Siège auto bébé dès 15 mois de 100-150 cm Siege auto bebe avec Fixation Isofix max. 36 kg Ceinture de sécurité à 3 points, Voiture enfant Sécurité enfant siège auto isofix groupe 2 3","tectake","FBM","Bébé et Puériculture",3418,"N/A","N/A",4061173307163,"N/A","Sièges auto",66,74.9,-11,41,23,,2899.68,1618.65,35,4.3,"Made4Home SAS","France",2,0,"N/A","Standard Oversize",24.41,18.11,12.99,15.21,"N/A","N/A","02/01/2026",9,7,5,1.18
