"URL","Image URL","ASIN","Title","Brand","Fulfillment","Category","BSR","UPC","GTIN","EAN","ISBN","Subcategory","Subcategory BSR","Price","Price Trend (90 days) (%)","Parent Level Sales","ASIN Sales","Sales Trend (90 days) (%)","Parent Level Revenue","ASIN Revenue","Review Count","Reviews Rating","Seller","Seller Country/Region","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.fr/dp/B00UJEA9ZI","https://m.media-amazon.com/images/I/31inBbVsxVL._SX450_.jpg","B00UJEA9ZI","Tuyau piscine - Tuyau PVC souple D50mm - 25m - Astralpool","GABARIT LOGO","FBM","Jardin",30123,"N/A",08435099275435,8435099275435,"N/A","Tuyaux pour piscine",55,106.8,-11,10,10,142,1019.47,1019.3,41,4.3,"ID-Piscine","France",5,201,48,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","05/01/2025",132,2,0,0.23
"https://amazon.fr/dp/B09XQN9BM3","https://m.media-amazon.com/images/I/614DwFTMOCL._SX450_.jpg","B09XQN9BM3","Goodyear - Enrouleur automatique tuyau de 30 mètres. Support tuyau de jardin mural avec rotation à 180 °. Tuyau de 2 mètres. Connecteurs ½'' ¾'' inclus","Goodyear","Amazon","Jardin",4421,"N/A","N/A",8434691294691,"N/A","Enrouleurs",13,129.99,-11,43,11,,2268.24,1469.31,162,4.1,"Amazon","N/A",2,0,"N/A","Standard Oversize",9.06,14.57,16.73,23.59,"N/A","N/A","02/01/2026",47,8,2,0.27
"https://amazon.fr/dp/B09MBYW31J","https://m.media-amazon.com/images/I/51GKiQDPTWL._SX450_.jpg","B09MBYW31J","MisterVac | compatible avec tuyau de remplacement de tuyau Kärcher WD2,WD 2 Mehrzwecksauger","MisterVac","FBA","Cuisine et Maison",35754,"N/A",04061926989424,"N/A","N/A","Tuyaux",22,30.66,-12,38,38,-25,1126.77,1126.25,271,4.4,"MisterVac e.K.","Germany",3,754,-47,"Standard Parcel",4.61,9.65,16.77,1.63,"N/A","N/A","01/01/2025",52,4,0,0.14
"https://amazon.fr/dp/B09MBZQGCM","https://m.media-amazon.com/images/I/51GKiQDPTWL._SX450_.jpg","B09MBZQGCM","MisterVac | compatible avec tuyau de remplacement de tuyau Kärcher WD 6 P Premium","MisterVac","FBA","Cuisine et Maison",39511,"N/A",04061926989363,"N/A","N/A","Tuyaux",25,30.57,-6,52,52,-14,1589.96,1589.3,72,3.9,"MisterVac e.K.","Germany",2,565,-20,"Standard Parcel",4.45,9.49,16.85,1.68,"N/A","N/A","09/01/2024",52,4,0,0.72
"https://amazon.fr/dp/B008ETHAKW","https://m.media-amazon.com/images/I/71PVEeaGtWL._SX450_.jpg","B008ETHAKW","Tuyau pour pompe à gasoil","RIBIMEX","Amazon","Jardin",12309,"N/A",08033866840758,8033866840758,"N/A","Durites d'essence",39,48.49,-6,40,40,-8,1957.84,1957.7,266,4.1,"Amazon","N/A",2,407,16,"Standard Oversize",2.76,20.87,24.41,3.62,"N/A","N/A","04/01/2025",165,2,1,0.15
"https://amazon.fr/dp/B0852RYGWY","https://m.media-amazon.com/images/I/81voOYJtoAL._SX450_.jpg","B0852RYGWY","Relaxdays Enrouleur Mural de Tuyau,Tambour Enrouleur Tuyau d’arrosage manivelle, 60 m de Long, en Acier,HlP41,5x54x45cm","Relaxdays","Amazon","Jardin",32776,"N/A","N/A",4052025295547,"N/A","Enrouleurs",77,99.99,-6,12,12,147,1156.22,1155.96,104,3.9,"Amazon","N/A",3,161,-13,"Standard Oversize",16.73,18.11,20.08,18.85,"N/A","N/A","05/01/2024",72,9,0,0.11
"https://amazon.fr/dp/B08B8TMGRJ","https://m.media-amazon.com/images/I/61gOlLNSYXL._SX450_.jpg","B08B8TMGRJ","Easy Link Tuyau de Carburant Diamètre 8 mm Longueur 5 m Tuyau d'huile Diesel NBR DIN 73379","Easy Link","FBA","Auto et Moto",4361,"N/A","N/A",3800711181459,"N/A","Durits et flexibles",21,19.99,-6,100,100,-6,2006.16,2005.02,288,4.5,"EASY SALES DE","Bulgaria",2,972,34,"Small Parcel",2.48,9.37,9.69,1.06,"N/A","N/A","11/01/2025",68,9,0,0.35
"https://amazon.fr/dp/B0B6JFBCHK","https://m.media-amazon.com/images/I/41Vs7nnukUL._SX450_.jpg","B0B6JFBCHK","GATES MFL1084 Tuyau de carburant noir","Gates","Amazon","Auto et Moto",21215,"N/A",05400608336597,5400608336597,"N/A","Lignes d'alimentation en huile",5,45.73,-16,29,29,113,1548.12,1547.7,18,3.8,"Amazon","N/A",8,214,219,"Standard Oversize",5.91,14.25,29.92,0.53,"N/A","N/A","10/01/2025",46,2,0,1.61
"https://amazon.fr/dp/B09TNCL4WR","https://m.media-amazon.com/images/I/61Z2i0nOMhL._SX450_.jpg","B09TNCL4WR","KARCHER Tuyau d aspirateur 35mm 44400463","Karcher","FBM","Cuisine et Maison",49894,"N/A","N/A",4054278892122,"N/A","Tuyaux",37,49.97,-9,68,68,-6,3529.87,3529.39,120,4.8,"Groupe Dragon","France",7,1015,36,"Small Oversize",2.91,15.12,20.08,2.29,"N/A","N/A","03/01/2025",53,3,0,0.57
"https://amazon.fr/dp/B0DHW5QRFQ","https://m.media-amazon.com/images/I/618EseG9rQL._SX450_.jpg","B0DHW5QRFQ","KS TOOLS Enrouleur de tuyau 515.3425","KS TOOLS","Amazon","Bricolage",110330,"N/A","N/A",4042146713396,"N/A","Enrouleurs de tuyaux",55,181.3,-13,13,13,500,2512.29,2512.04,3,4.6,"Amazon","N/A",2,0,"N/A","Standard Oversize",8.86,18.11,24.41,38.36,"N/A","N/A","02/01/2026",17,3,0,6.25
"https://amazon.fr/dp/B00BBHF46Q","https://m.media-amazon.com/images/I/419vXpBkNWL._SX450_.jpg","B00BBHF46Q","FAVERGE Séchoir Tuyau Poêle 8Br 60 cm","FAVERGE","FBM","Cuisine et Maison",84027,"N/A",03454720003020,3454720003020,"N/A","Étendoirs",147,30.93,-12,28,28,-67,1008.06,1007.79,133,3.7,"HOME BOULEVARD","France",6,257,9,"Small Oversize",3.11,7.68,20.47,1.61,"N/A","N/A","01/01/2026",173,1,0,0.21
"https://amazon.fr/dp/B0C6Q96NHN","https://m.media-amazon.com/images/I/811J6my8pTL._SX450_.jpg","B0C6Q96NHN","QWORK® Tuyau de frein plaqué cuivre 10 m, Tuyau de frein tube, OD 4.76 mm, ID 3.3 mm avec 20 écrous","QWORK","FBA","Auto et Moto",3521,795973629050,"N/A",0795973629050,"N/A","Tuyaux de frein",1,22.99,-11,95,55,114,2019.56,1270.81,422,4.2,"kewoke","China",2,1037,-52,"Standard Parcel",0.94,11.34,11.57,1.74,"N/A","N/A","04/01/2024",34,7,3,0.22
"https://amazon.fr/dp/B0FB3JGZZH","https://m.media-amazon.com/images/I/619McPXeL+L._SX450_.jpg","B0FB3JGZZH","NSGMXT Tuyau Tuyau Intercooler avec capteur compatible avec 2.0 dCi Primastar X83 Trafic II Vivaro # 8201068612 8200470985 93856622 93864697 1626900Q0A 16269-00Q0A 1657800Q0A","NSGMXT","FBA","Auto et Moto",21275,"N/A","N/A","N/A","N/A","Conduits de pression et durites",44,65.98,-14,58,58,139,3795.81,3795.68,13,4,"CDSTK","China",2,0,"N/A","Standard Parcel",8.27,11.3,11.85,2.05,"N/A","N/A","01/01/2026",10,9,0,4.42
"https://amazon.fr/dp/B001HWA8SO","https://m.media-amazon.com/images/I/51mbOCBUNJL._SX450_.jpg","B001HWA8SO","Jackson Safety 14779 Aligneur de bride de tuyau #10","Jackson Safety","Amazon","Bricolage",119271,626053604813,00024886073880,0626053604813,"N/A","Brides",17,77.34,5,17,17,100,1305.86,1305.65,73,4.1,"Amazon","N/A",2,89,98,"Small Parcel",2.72,2.83,13.78,1.83,"N/A","N/A","02/01/2026",163,1,0,0.23
"https://amazon.fr/dp/B07L9JN5XP","https://m.media-amazon.com/images/I/712cLY2OWTL._SX450_.jpg","B07L9JN5XP","WERKA PRO Tuyau d'arrosage renforcé Ø25mm antivrille 20 m","WERKA PRO","Amazon","Jardin",1763,"N/A",03700723407120,3700723407120,"N/A","Tuyaux d'arrosage",19,57.59,-6,122,122,3457,6943.58,6943.39,131,4,"Amazon","N/A",2,994,"N/A","Standard Oversize",7.17,17.87,18.19,15.3,"N/A","N/A","05/01/2025",87,4,1,0.93
"https://amazon.fr/dp/B0BWGP86V2","https://m.media-amazon.com/images/I/51HkwaRDQYS._SX450_.jpg","B0BWGP86V2","13717803842, Tuyau reniflard d'huile, Tuyau Reniflard N47 13717803842 7803842 - Filtre à Air Turbo pour Séries 1 3 4 5 6 7 X1 X3 X4 X5 X6","Tbest","FBA","Auto et Moto",3644,"N/A","N/A","N/A","N/A","Moteurs et pièces de moteur",109,16.49,-18,63,63,48,1033.57,1032.85,74,4.2,"Youluu-cd","China",2,670,25,"Large Envelope",1.46,2.28,10,0.09,"N/A","N/A","10/01/2025",37,9,0,0.85
"https://amazon.fr/dp/B0D41RVWFN","https://m.media-amazon.com/images/I/51BPeaarkYL._SX450_.jpg","B0D41RVWFN","Huiruhy Tuyau turbo tuyau d'air de suralimentation de remplacement pour 1.5 dCi D0kker Duster L0dgy L0gan II Sandero II Captur I Clio IV 144609369R 144604599R 144609116R","Huiruhy","FBA","Auto et Moto",18467,"N/A","N/A",9479659455553,"N/A","Refroidisseur d'air de suralimentation",1,75.98,-8,15,15,61,1108.32,1108.18,21,4.3,"JCSSS","China",2,199,"N/A","Standard Oversize",7.36,8.9,28.35,2.45,"N/A","N/A","06/01/2025",22,9,0,0.69
"https://amazon.fr/dp/B09BDQQP5T","https://m.media-amazon.com/images/I/417gRTC-sqL._SX450_.jpg","B09BDQQP5T","ORIGINAL IMPERIUM 224252 Durite d'admission d'air avec support de tuyau","ORIGINAL IMPERIUM","Amazon","Auto et Moto",5936,"N/A","N/A",8045295548082,"N/A","Personnalisation de la voiture et armatures de caisse",236,28.17,-5,36,36,-19,1039.34,1039.03,36,4.3,"Amazon","N/A",4,339,86,"Standard Parcel",4.8,8.58,15,0.79,"N/A","N/A","10/01/2025",56,1,0,1.09
"https://amazon.fr/dp/B01NBQONYD","https://m.media-amazon.com/images/I/71fisw9jNLL._SX450_.jpg","B01NBQONYD","Kärcher Conduite tuyau TR pivotant DN6 25MPa 10m Taille unique","Karcher","Amazon","Jardin",30460,"N/A",04054278194479,4054278194479,"N/A","Tuyaux",178,157.05,-2,9,9,,1489.44,1489.26,14,4.2,"Amazon","N/A",7,45,55,"Standard Parcel",2.2,12.17,17.4,4.3,"N/A","N/A","06/01/2025",107,1,0,0.63
"https://amazon.fr/dp/B00HUM6834","https://m.media-amazon.com/images/I/711OOf4P4EL._SX450_.jpg","B00HUM6834","Oase Tuyau spiralé 5 m Ø 25 mm 57530, Noir","Oase","Amazon","Jardin",3942,"N/A",04010052575308,4010052575308,"N/A","Jardin et Patio",278,25.99,3,82,82,-31,1531.43,1530.65,481,4.4,"Amazon","N/A",5,1197,132,"Standard Parcel",4.57,10.39,10.75,1.68,"N/A","N/A","05/01/2025",141,2,0,0.17
"https://amazon.fr/dp/B0BS719SQ3","https://m.media-amazon.com/images/I/71rfo9sYp5L._SX450_.jpg","B0BS719SQ3","GROHE Flexible tuyau de douche salle de bains VitalioFlex métallique, tuyau de douche 1500mm, anti-pliures, finition brillante, raccord fileté universel 1/2"", chromé, 22108000 (Import Allemagne)","GROHE","Amazon","Bricolage",14126,"N/A",04005176775277,4005176775277,"N/A","Flexibles de douche",26,30.41,22,104,79,-82,3435.04,2472.9,475,4.4,"Amazon","N/A",8,1574,118,"Extra Large Envelope",1.85,8.11,10.28,0.64,"N/A","N/A","12/01/2025",38,8,3,0.22
"https://amazon.fr/dp/B079RLBH78","https://m.media-amazon.com/images/I/61bHvva1T0L._SX450_.jpg","B079RLBH78","Forum Equipement - Rallonge de Tuyau - Longueur 10 Mètres pour Pro Sprayer, Blanc","Forum Equipement","Amazon","Jardin",2035,"N/A",09910022399116,9910022399116,"N/A","Tuyaux d'arrosage",23,26.6,-9,82,74,138,2383.33,2028.72,274,4.6,"Amazon","N/A",5,1738,"N/A","Small Parcel",3.62,9.02,9.65,2.12,"N/A","N/A","04/01/2025",97,1,2,0.3
"https://amazon.fr/dp/B005HVCQG8","https://m.media-amazon.com/images/I/61QfxpHFdcL._SX450_.jpg","B005HVCQG8","Polti Vaporetto Brosse-pistolet pour nettoyeur vapeur ENSEMBLE TUYAU PRINCIPaL de déclenchement","Polti","FBM","Cuisine et Maison",49826,"N/A","N/A",5055268582725,"N/A","Pièces de rechange",633,44.36,-19,28,28,-37,1399.81,1399.61,244,4,"SOS-Accessoire","France",3,302,-17,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","03/01/2025",158,5,0,0.12
"https://amazon.fr/dp/B079HNFCQX","https://m.media-amazon.com/images/I/51KE-0G5J6L._SX450_.jpg","B079HNFCQX","BERNSTEIN - Siphon Flexible Baignoire îlot Tuyau écoulement ABS Evacuation & Vidange Anti-odeurs","BERNSTEIN","FBA","Cuisine et Maison",46761,"N/A","N/A",4250347315855,"N/A","Bouchons",78,31.8,1,37,37,-8,1191.3,1190.82,167,4.1,"Bernstein Badshop","Germany",2,206,-31,"Small Parcel",3.27,5.31,12.28,0.4,"N/A","N/A","03/01/2024",97,6,0,0.23
"https://amazon.fr/dp/B07L9FKD7D","https://m.media-amazon.com/images/I/71BOhAPHa9L._SX450_.jpg","B07L9FKD7D","WERKA PRO Tuyau d'arrosage renforcé Ø19mm antivrille 220 g/m 50 m","WERKA PRO","Amazon","Jardin",6492,"N/A",03700723407144,3700723407144,"N/A","Tuyaux d'arrosage",71,80.19,-7,33,20,235,2254.95,1553.19,58,3.3,"Amazon","N/A",3,233,-54,"Standard Oversize",11.81,15.75,15.75,13.23,"N/A","N/A","07/01/2024",87,4,2,0.57
