"URL","Image URL","ASIN","Title","Brand","Fulfillment","Category","BSR","UPC","GTIN","EAN","ISBN","Subcategory","Subcategory BSR","Price","Price Trend (90 days) (%)","Parent Level Sales","ASIN Sales","Sales Trend (90 days) (%)","Parent Level Revenue","ASIN Revenue","Review Count","Reviews Rating","Seller","Seller Country/Region","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.fr/dp/B00BGBQKLU","https://m.media-amazon.com/images/I/51LAMvVC53L._SX450_.jpg","B00BGBQKLU","Niklas chauffage au gaz infrarouge.","NIKLAS","FBM","Cuisine et Maison",168609,"N/A","N/A",8430045380256,"N/A","Radiateurs",314,98,-4,20,20,115,1992.58,1992.49,10,4.4,"Univers Du Pro","France",4,73,43,"Standard Parcel",0,0,0,23.15,"N/A","N/A","11/01/2024",138,9,0,2.04
"https://amazon.fr/dp/B07KSWVR5J","https://m.media-amazon.com/images/I/41kQYOseDfL._SX450_.jpg","B07KSWVR5J","Voltman Chauffage électrique Panneaux rayonnants 1500W","Voltman","FBM","Bricolage",47064,"N/A",03380235400149,3380235400149,"N/A","Radiateurs",29,69.9,-6,47,16,-58,3954.48,1117.56,37,4.3,"Enexo","France",2,608,166,"Standard Oversize",5.31,19.33,29.25,13.23,"N/A","N/A","01/01/2026",88,7,3,1.26
"https://amazon.fr/dp/B0CZR6B127","https://m.media-amazon.com/images/I/816uIIP8q+L._SX450_.jpg","B0CZR6B127","LANAFORM - Heating Panel - Chauffage De Bureau - Panneau Chauffant Pliable - Panneau De Chauffage - 3 Intensités De Chauffe - Accessoire De Bureau","Lanaform","FBA","Hygiène et Santé",42827,"N/A","N/A",5410984118885,"N/A","Chauffe-pieds",52,48.95,-49,38,38,,1845.11,1844.96,7,4,"LANAFORM","Belgium",2,0,"N/A","Standard Oversize",0.79,15.75,20.47,4.41,"N/A","N/A","02/01/2026",24,9,0,5.38
"https://amazon.fr/dp/B0DN15DRVY","https://m.media-amazon.com/images/I/41h-g3y4oGL._SX450_.jpg","B0DN15DRVY","alpina Chauffage Mural 1000-2000W - Chauffage Céramique PTC avec Télécommande - Réglable en Température et Minuterie - Radiateur Mural pour Intérieur, Blanc","alpina","Amazon","Bricolage",10054,"N/A","N/A",8711252002781,"N/A","Radiateurs",3,70.99,6,51,51,-32,3353.46,3352.99,46,4.2,"Amazon","N/A",4,0,"N/A","Standard Oversize",5.83,8.66,17.83,5.25,"N/A","N/A","11/01/2025",16,9,0,1.12
"https://amazon.fr/dp/B00935TXSS","https://m.media-amazon.com/images/I/61CYTqNWUqL._SX450_.jpg","B00935TXSS","Adax Neo NL - Radiateur Electrique 600W | Chauffage Electrique | Faible Consommation d'Energie | Chauffage d'appoint | Convecteur Electrique Mural avec Thermostat | Hauteur 200mm | KDT Blanc","ADAX","FBM","Bricolage",20507,"N/A","N/A",7040666600063,"N/A","Radiateurs",10,155.99,-10,28,13,23,4627.27,2122.1,210,3.8,"espace-bricolage","France",3,455,-17,"Standard Oversize",3.54,8.74,35.51,8.42,"N/A","N/A","10/01/2025",123,5,4,0.13
"https://amazon.fr/dp/B006LKP6PM","https://m.media-amazon.com/images/I/61CYTqNWUqL._SX450_.jpg","B006LKP6PM","Adax Neo NL - Radiateur Electrique 800W | Chauffage Electrique | Faible Consommation d'Energie | Chauffage d'appoint | Convecteur Electrique Mural avec Thermostat | Hauteur 200mm | KDT Blanc","ADAX","FBM","Bricolage",20502,"N/A",07040666600087,7040666600087,"N/A","Radiateurs",10,162.99,-19,28,8,23,4627.27,1250.97,210,3.8,"espace-bricolage","France",3,455,-17,"Standard Oversize",3.46,8.39,42.72,9.57,"N/A","N/A","10/01/2025",173,6,4,0.13
"https://amazon.fr/dp/2416015125","https://m.media-amazon.com/images/I/81XfocGqepL._SX450_.jpg",2416015125,"La plomberie et le chauffage en fiches pratiques","EYROLLES","Amazon","Livres",4561,"N/A","N/A",9782416015120,2416015125,"Chauffage, ventilation et climatisation",1,32,-11,48,48,-42,1531.8,1531.66,30,4.7,"Amazon","N/A",6,577,"N/A","Large Envelope",0.59,8.74,10.94,2.01,"N/A","N/A","01/01/2025",26,1,0,1.6
"https://amazon.fr/dp/B07M6PM4DX","https://m.media-amazon.com/images/I/810W-GNiUgL._SX450_.jpg","B07M6PM4DX","Circulateur Rohtenbach 25–40/180 pour chauffage central","Rohtenbach","FBA","Bricolage",40919,"N/A","N/A",5902557114764,"N/A","Accessoires",168,59.18,-4,63,63,-42,3668,3667.56,154,4.5,"Digital Brico","France",3,888,"N/A","Standard Parcel",5.39,5.59,7.91,5.14,"N/A","N/A","10/01/2025",86,7,0,0.41
"https://amazon.fr/dp/B01LL87M7S","https://m.media-amazon.com/images/I/61sgSAkNheL._SX450_.jpg","B01LL87M7S","Perel Radiateur à bain d’huile 700 W, 7 éléments, chauffage bain d’huile, chauffage d’appoint, radiateur électrique, thermostat, poignée, roulettes, max.15 m², blanc","Perel","Amazon","Cuisine et Maison",72296,"N/A","N/A",5411244780071,"N/A","Appareils de chauffage électriques",19,36.45,-14,65,42,-98,3328.91,1543.85,275,3.8,"Amazon","N/A",6,1716,"N/A","Standard Oversize",5.51,13.94,16.54,8.55,"N/A","N/A","12/01/2024",114,7,4,0.24
"https://amazon.fr/dp/B07M6QN3Z4","https://m.media-amazon.com/images/I/91BogM4c2dL._SX450_.jpg","B07M6QN3Z4","Circulateur Rohtenbach 25–60/180 pour chauffage central","Rohtenbach","FBA","Bricolage",17339,"N/A","N/A",5902557114771,"N/A","Accessoires",51,57.4,-22,108,108,-65,6402.67,6402.36,252,4.4,"Digital Brico","France",3,1859,83,"Standard Parcel",5.43,5.63,7.87,5.62,"N/A","N/A","11/01/2025",86,6,0,0.43
