"URL","Image URL","ASIN","Title","Brand","Fulfillment","Category","BSR","UPC","GTIN","EAN","ISBN","Subcategory","Subcategory BSR","Price","Price Trend (90 days) (%)","Parent Level Sales","ASIN Sales","Sales Trend (90 days) (%)","Parent Level Revenue","ASIN Revenue","Review Count","Reviews Rating","Seller","Seller Country/Region","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.fr/dp/B0FYPTBR8R","https://m.media-amazon.com/images/I/61yeYurk67L._SX450_.jpg","B0FYPTBR8R","Robot Piscine sans Fil, Aspirateur Piscine avec Autonomie de 90 Minutes, Nettoyage Automatique avec Fonction de stationnement Automatique, Nettoyeur de Piscine Compact, Idéal pour 80㎡","Gosvor","FBA","Jardin",14859,"N/A","N/A",6977676345954,"N/A","Systèmes de nettoyage automatique",38,129.99,8,17,14,,2281.5,1828.92,50,4.4,"Gosvor","China",2,0,"N/A","Standard Parcel",7.72,13.07,16.26,10.63,"N/A","N/A","01/01/2026",3,9,5,0.35
"https://amazon.fr/dp/B0DK354VPW","https://m.media-amazon.com/images/I/81BDliaYalL._SX450_.jpg","B0DK354VPW","GLOPUS Bouee Bebe, Bouée Bébé, Bouee Bebe Piscine avec Pare Soleil UPF 50+, Piscine Empêcher Le Retournement Flotteur de Piscine pour Tout-Petits pour 6 à 36 Mois","GLOPUS","FBA","Jeux et Jouets",1506,"N/A","N/A","N/A","N/A","Flotteurs bébé",1,30.99,-11,243,186,576,8696.96,5403.13,338,4.5,"YoYoBall-fr","China",2,0,"N/A","Standard Parcel",2.17,11.81,11.93,2.18,"N/A","N/A","07/01/2025",13,6,4,0.72
"https://amazon.fr/dp/B00YCAROSK","https://m.media-amazon.com/images/I/51LnAJ7mDEL._SX450_.jpg","B00YCAROSK","Fairlock Balai pour Piscine, Jaune","FAIRLOCKS","FBM","Jardin",7712,"N/A",03661145014634,3661145014634,"N/A","Outils d'entretien et accessoires",65,124.85,-2,15,15,4,1854.07,1853.82,99,4.4,"EASYPISCINE","France",5,512,-2,"Standard Oversize",5.47,6.73,20.43,6.7,"N/A","N/A","06/01/2024",116,4,1,0.15
"https://amazon.fr/dp/B00UJEA9ZI","https://m.media-amazon.com/images/I/31inBbVsxVL._SX450_.jpg","B00UJEA9ZI","Tuyau piscine - Tuyau PVC souple D50mm - 25m - Astralpool","GABARIT LOGO","FBM","Jardin",30123,"N/A",08435099275435,8435099275435,"N/A","Tuyaux pour piscine",55,106.8,-11,10,10,142,1019.47,1019.3,41,4.3,"ID-Piscine","France",5,201,48,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","05/01/2025",132,2,0,0.23
"https://amazon.fr/dp/B071CTFRFM","https://m.media-amazon.com/images/I/81wOuPaGZQL._SX450_.jpg","B071CTFRFM","PoolLab 1.0 + accessoires testeur électronique d'eau de piscine","Water-ID","FBM","Jardin",16289,612085229971,"N/A",0612085229971,"N/A","Produits de mesure",61,119,-6,12,12,-66,1428.31,1428.15,254,4.5,"EASYPISCINE","France",6,984,87,"Small Parcel",2.76,5.59,11.02,1.32,"N/A","N/A","07/01/2025",106,9,0,0.05
"https://amazon.fr/dp/B0BX1LVD1C","https://m.media-amazon.com/images/I/61n423unVDL._SX450_.jpg","B0BX1LVD1C","PoolLAB 2.0 Photomètre Électronique Testeur d'Eau - Analyse d'Eau Professionnelle pour Piscine et Spa - Testeur de Piscine Électronique pour 27 Paramètres d'Eau - Inclut 70 Pastilles de Test","Snizzl","FBM","Jardin",64399,787976925680,"N/A",0787976925680,"N/A","Produits d'entretien et d'analyse de l'eau",887,149,-6,7,7,109,1054.18,1054.05,54,3.9,"EASYPISCINE","France",2,212,361,"Small Parcel",3.62,4.84,11.5,1.7,"N/A","N/A","07/01/2025",37,9,0,0.13
"https://amazon.fr/dp/B0F2M6327V","https://m.media-amazon.com/images/I/71Y66c4dGsL._SX450_.jpg","B0F2M6327V","BNEHHOV Bouee Bebe avec Auvent UPF 50+ Améliorez Bouée Bébé Piscine Empêcher Le retournement Flotteur de Piscine pour Tout-Petits pour 6 à 36 Mois (Bleu)","BNEHHOV","FBA","Jeux et Jouets",7074,"N/A","N/A",6978560780295,"N/A","Flotteurs bébé",5,23.99,-6,85,67,21,2003.65,1592.98,134,4.2,"DOUBLE CHOW LIMITED","United Kingdom of Great Britain and Northern Ireland",2,0,"N/A","Standard Parcel",2.44,10.24,11.06,1.65,"N/A","N/A","09/01/2025",12,7,2,0.64
"https://amazon.fr/dp/B0055KCYGI","https://m.media-amazon.com/images/I/61NBd+il16L._SX450_.jpg","B0055KCYGI","Lot de 10 frites de piscine - Frites aquatiques - Barre en mousse","Worldconnection","FBM","Jeux et Jouets",24786,"N/A","N/A",4029811250714,"N/A","Frites en mousse",5,56.9,-2,26,26,-26,1480.45,1480.32,237,4.6,"✅FR GRENADINE BOUTIQUE✅","France",2,528,114,"Standard Oversize",35.83,20.47,14.57,6.61,"N/A","N/A","07/01/2025",160,3,0,0.11
"https://amazon.fr/dp/B0DQDL9M1Z","https://m.media-amazon.com/images/I/51pbUbWrXFL._SX450_.jpg","B0DQDL9M1Z","Intex - 28086 - Intex Bâche Hiver Piscine rectangulaire 5,49m x 2,74m - Epaisseur 50/100","Intex","FBM","Jardin",8927,"N/A","N/A",6941057429502,"N/A","Bâches",34,66.99,-24,40,40,-17,2592.07,2591.64,104,4.2,"RAVIDAY","France",6,1243,"N/A","Standard Oversize",7.01,14.02,15.98,17.64,"N/A","N/A","09/01/2025",15,2,0,0.38
"https://amazon.fr/dp/B00HUS2T7M","https://m.media-amazon.com/images/I/51VAxwKYEYL._SX450_.jpg","B00HUS2T7M","Zodiac Piège à Feuilles à Aspiration Cyclonique, pour Robots Nettoyeurs de Piscine Hydrauliques, Bleu, W37110","Zodiac","FBM","Jardin",18708,"N/A",03478580371105,9998590145489,"N/A","Systèmes de nettoyage automatique",46,100.16,-15,16,16,200,1497.25,1496.99,453,4.4,"EASYPISCINE","France",7,518,5,"Standard Parcel",8.15,9.61,11.46,3.06,"N/A","N/A","06/01/2024",142,2,1,0.04
"https://amazon.fr/dp/B0D17W5RV5","https://m.media-amazon.com/images/I/71-zAcZzYML._SX450_.jpg","B0D17W5RV5","RYOBI - Gonfleur Gros débit - 18V One+ - RVI18-0 - Matelas, bouées, Piscine, dégonflage Rapide - Batterie Non Incluse","RYOBI","Amazon","Sports et Loisirs",12040,"N/A","N/A",4892210230485,"N/A","Gonfleurs et pompes électriques",41,47.44,-14,27,27,-64,1213.97,1213.69,64,4.2,"Amazon","N/A",4,0,"N/A","Small Parcel",4.45,6.81,7.8,1.46,"N/A","N/A","12/01/2025",23,14,0,0.43
"https://amazon.fr/dp/B08DJ7PR2S","https://m.media-amazon.com/images/I/61KZw-noTKL._SX450_.jpg","B08DJ7PR2S","Intex kit Piscine Metal Frame Junior rectangulaire Tubulaire (l) 4,50 x (l) 2,20 x (h) 0,84m","Intex","Amazon","Jardin",4858,"N/A",06941057420622,6941057420622,"N/A","Structures pour piscines",4,148.9,-32,23,23,281,3334.31,3334.13,258,3.7,"Amazon","N/A",8,1294,661,"Special Oversize",14.96,15.35,44.09,92.59,"N/A","N/A","07/01/2025",66,9,0,0.09
"https://amazon.fr/dp/B0B883J81D","https://m.media-amazon.com/images/I/61+cUuiYeYL._SX450_.jpg","B0B883J81D","Parexlanko - Colle et Joint - Spécial Douche à l'Italienne et Piscine - Blanc - Joints de 1 à 15 mm - 25 kg","Parexlanko","Amazon","Bricolage",71878,"N/A","N/A",3555432282335,"N/A","Colles à carrelage",82,59.95,13,18,18,128,1104.59,1104.47,49,4.3,"Amazon","N/A",2,201,25,"Standard Oversize",3.98,13.35,18.22,55.34,"N/A","N/A","05/01/2025",43,6,0,0.38
"https://amazon.fr/dp/B0876R8X2L","https://m.media-amazon.com/images/I/6184YILHy7L._SX450_.jpg","B0876R8X2L","Aquachek ® Lot de 2 x 50 bandelettes d'analyse pour piscine ou spa - 4 en 1 - Jaune - Norme CE","AquaChek","FBM","Jardin",4835,"N/A","N/A",3662348031992,"N/A","Produits de mesure",18,26,-6,42,42,21,1089.45,1089.3,231,4.6,"WEYLAND PARCS ET JARDINS","France",5,3076,125,"Extra Large Envelope",1.81,4.49,10.59,0.22,"N/A","N/A","06/01/2025",71,1,0,0.18
"https://amazon.fr/dp/B0DZ726ZKF","https://m.media-amazon.com/images/I/311cU1JjEML._SX450_.jpg","B0DZ726ZKF","BAYROL Testeur électronique pour piscine et jacuzzi - Mesure 7 paramètres d'eau - Connexion Bluetooth exclusive à l'application Bayrol My Pool Expert","Bayrol","FBM","Jardin",41080,"N/A","N/A",4008367873035,"N/A","Produits de mesure",159,170.54,-30,6,6,,1108.22,1108.12,29,4.4,"EASYPISCINE","France",4,0,"N/A","Small Parcel",9.84,4.33,3.15,2.2,"N/A","N/A","02/01/2026",11,3,2,0.22
"https://amazon.fr/dp/B0CSK5JNX2","https://m.media-amazon.com/images/I/71kEpNf2opL._SX450_.jpg","B0CSK5JNX2","Flotteur de Piscine pour bébé avec auvent Amovible de Protection Solaire UPF50+ UV, Console de Jeu Jouet, siège de sécurité réglable","GLOPUS","FBM","Jeux et Jouets",1508,"N/A","N/A","N/A","N/A","Flotteurs bébé",1,73.86,-52,243,36,576,8696.96,2531.88,338,4.5,"GREENJINN","United Kingdom of Great Britain and Northern Ireland",2,0,"N/A","Standard Parcel",2.05,11.77,11.93,2.16,"N/A","N/A","07/01/2025",22,5,4,0.72
"https://amazon.fr/dp/B0D5RM4DQ7","https://m.media-amazon.com/images/I/815s4dfYVuL._SX450_.jpg","B0D5RM4DQ7","PHONILLICO Lot 2 Sacs pour Polaris 280/480 - Filtre Robot Nettoyeur Piscine Filet Rechange K13/K16 Sac à Limon avec Fermeture Zip","PHONILLICO","FBA","Jardin",2717,"N/A","N/A",3663364282740,"N/A","Accessoires et pièces détachées",5,20.99,-6,120,120,237,2521.89,2520.53,77,4.2,"Phonillico","France",2,2834,"N/A","Small Parcel",3.82,3.9,4.09,0.42,"N/A","N/A","05/01/2025",20,7,0,1.56
"https://amazon.fr/dp/B0CS3K2T22","https://m.media-amazon.com/images/I/51W+AWHixTL._SX450_.jpg","B0CS3K2T22","GEB Kit de détection des fuites pour Piscine et Spa. Prêt à l'emploi, Facile à Utiliser et réutilisable jusqu'à 26 Tests, Jaune","GEB","Amazon","Jardin",1305,"N/A","N/A",3283981272988,"N/A","Kits de réparation",21,27.9,-11,205,37,-43,5114.22,1044.07,439,3.8,"Amazon","N/A",3,6069,"N/A","Standard Parcel",2.09,2.13,14.17,0.37,"N/A","N/A","07/01/2025",26,7,2,0.47
"https://amazon.fr/dp/B01NAGB9VB","https://m.media-amazon.com/images/I/71Lm5K8B1iL._SX450_.jpg","B01NAGB9VB","GEB Pool Colmateur de fuites. Liquide colmatant pour la réparation de fuites dans la piscine pour canalisations enterrées et bassin, 1 Litre","GEB","Amazon","Jardin",1307,"N/A","N/A",3283981272940,"N/A","Piscines, bains à remous et accessoires",52,20.67,-6,205,167,-43,5114.22,4067.81,440,3.8,"Amazon","N/A",4,6069,"N/A","Small Parcel",2.72,5.08,6.69,3.24,"N/A","N/A","07/01/2025",111,8,2,0.47
"https://amazon.fr/dp/B0B44XNBZ7","https://m.media-amazon.com/images/I/61M5c89lEeL._SX450_.jpg","B0B44XNBZ7","SIKA - Traitement Antidérapant - Sikagard-199 Antidérapant - Pour carrelage lisses en terrasses, piscine, marches d'escalier, rampes d'accès - Intérieur & Extérieur - Prêt à l'emploi - 2L","SIKA","Amazon","Bricolage",7002,"N/A","N/A",7612895790022,"N/A","Revêtement de sol extérieur",7,43.99,5,126,99,-16,7574.01,4902.59,72,4.1,"Amazon","N/A",2,1679,"N/A","Small Parcel",2.83,6.61,9.37,4.83,"N/A","N/A","05/01/2025",48,6,2,1.76
"https://amazon.fr/dp/B0C4GXV51Y","https://m.media-amazon.com/images/I/81vOfk28WbL._SX450_.jpg","B0C4GXV51Y","JEHONN Brosse WC Jetable Recharge 48 - Pack, Bath Scrub Stick Remplacement Cleaner Pad pour Lavabo Baignoire Piscine Lavabo Vadrouille (Seulement pour JEHONN)","JEHONN","FBA","Cuisine et Maison",24426,"N/A","N/A","N/A","N/A","Brosses et porte-brosses pour toilettes",79,21.99,550,56,56,,1235.35,1234.64,255,4.5,"JEHONN-FR","China",2,497,"N/A","Standard Parcel",6.46,9.41,12.2,1.01,"N/A","N/A","10/01/2025",34,7,0,0.22
"https://amazon.fr/dp/B00N2IEAI0","https://m.media-amazon.com/images/I/71nGRTgc-mL._SX450_.jpg","B00N2IEAI0","Parexlanko - Colle & Joint - Spécial Douche à l 'Italienne et Piscine - 2 en 1- Collage & Finition - Blanc - Joints de 1 à 15 mm - 5 kg","Parexlanko","FBM","Bricolage",14798,"N/A",03555430021356,3555430021356,"N/A","Colles à carrelage",23,31.95,12,93,93,73,1715.02,1714.74,136,4.4,"espace-bricolage","France",3,825,11,"Standard Parcel",3.86,7.24,11.1,12.19,"N/A","N/A","03/01/2025",139,6,0,0.69
